from_city,to_city,distance_km,vehicle,cargo,is_peak,is_weekend,cost
Rajkot,Daman,386.47,18T,5,0,0,26211.85
Balurghat,Vellore,2171.49,3.5T,16,1,1,75308.74
Munger,Tumkur,2116.29,12T,10,1,0,112488.33
Orai,Surat,1137.35,18T,16,0,1,71440.98
Ahmedabad,Nellore,1573.44,25T,5,0,1,118040.71
Moradabad,Dhule,1232.79,12T,11,0,1,69530.88
Thiruvananthapuram,Surat,1844.8,3.5T,13,1,1,62748.86
Ajmer,Parbhani,1040.59,7.5T,10,1,1,50298.87
Vellore,Sikar,2112.56,25T,7,0,0,158585.02
Agra,Kakinada,1531.03,18T,10,0,1,101606.74
Thrissur,Begusarai,2481.99,7.5T,3,1,0,114800.38
Dewas,Bhubaneswar,1405.71,25T,6,1,1,102365.0
Roorkee,Madurai,2765.34,7.5T,2,1,1,128809.36
Bhavnagar,Bihar Sharif,1914.83,25T,4,0,1,140136.96
Hubli,Chennai,781.16,3.5T,5,1,1,28188.3
Gadag,Mathura,1696.99,12T,13,1,0,93092.67
Dibrugarh,Hajipur,1368.85,25T,13,0,1,104896.02
Saharanpur,Shimla,166.33,7.5T,10,0,0,8023.55
Deoghar,Jamshedpur,241.65,7.5T,6,1,0,11368.13
Daman,Mahbubnagar,878.08,18T,9,1,0,58094.34
Patna,Hospet,1877.56,3.5T,8,1,1,65820.72
Shimoga,Nagpur,1113.98,3.5T,19,0,0,39477.34
Hazaribagh,Tuticorin,2339.75,3.5T,19,0,0,82383.6
Modinagar,Alappuzha,2688.04,12T,11,1,1,153519.47
Ozhukarai,Sangli-Miraj-Kupwad,982.54,7.5T,14,1,0,45376.03
Fatehpur,Hathras,448.27,7.5T,10,0,0,21527.32
Siliguri,Baharampur,353.54,12T,2,0,1,19559.95
Ambala,Jaunpur,1042.93,3.5T,19,1,1,39813.53
Farrukhabad,Latur,1314.34,25T,17,0,0,102346.35
Hathras,Pimpri-Chinchwad,1378.49,18T,15,0,1,88211.47
Tirupati,Faizabad,1862.58,3.5T,8,0,1,68495.18
Ongole,Bongaigaon,2108.08,18T,8,0,1,135015.41
Delhi,Vizianagaram,1691.82,7.5T,16,1,0,77230.69
Bokaro Steel City,Kurnool,1565.59,12T,2,0,1,88260.42
Sikar,Raichur,1610.69,12T,1,0,0,87654.43
Satna,Budaun,532.28,3.5T,18,1,1,20681.47
Satna,Faizabad,352.16,7.5T,2,0,0,16167.48
Alappuzha,Kannur,356.06,25T,13,0,1,26576.24
Midnapore,Jamnagar,2395.35,3.5T,12,0,1,83516.67
Parbhani,Karnal,1446.73,3.5T,5,0,1,49635.94
Mughalsarai,Khammam,1188.39,3.5T,3,0,1,41803.24
Chhapra,Saharanpur,1155.54,3.5T,13,0,1,42882.15
Vidisha,Vadodara,663.85,25T,11,1,1,53412.11
Dhulian,Bettiah,560.51,3.5T,1,0,0,20626.99
Jodhpur,Hassan,1884.89,3.5T,13,0,1,67302.14
Kasaragod,Vapi,1130.48,7.5T,10,1,1,51143.82
Bhind,Darbhanga,988.28,7.5T,1,1,0,46222.69
Ujjain,Rohtak,801.28,3.5T,6,1,0,28469.41
Banda,Ongole,1384.46,3.5T,16,0,1,50606.08
Balasore,Tuticorin,2147.42,25T,12,0,0,167277.2
Nashik,Vapi,133.55,7.5T,3,0,0,6063.63
Thanesar,Akola,1285.64,25T,2,1,0,96629.18
Parbhani,Banda,994.31,12T,12,0,0,57566.24
Chhindwara,Chittoor,1226.79,3.5T,1,1,1,41973.28
Porbandar,Haldwani,1727.94,12T,6,1,1,93673.03
Thanjavur,Munger,2265.97,25T,9,0,1,171011.69
Hospet,Porbandar,1289.21,3.5T,8,1,1,47116.61
Barmer,Durgapur,2226.93,7.5T,6,0,1,98741.55
Midnapore,Bhopal,1379.66,3.5T,16,1,0,47528.12
Satara,Guna,1066.84,7.5T,9,0,1,49801.04
Proddatur,Jalandhar,2336.83,25T,18,1,1,175589.46
Jaipur,Katihar,1645.59,3.5T,7,1,0,60067.14
Indore,Haldia,1696.85,12T,16,0,1,91278.6
Warangal,Vaniyambadi,745.19,25T,11,0,0,55269.26
Tirunelveli,Amritsar,3205.24,25T,4,1,1,238548.37
Ranaghat,Kota,1784.6,25T,12,0,1,129666.31
Ozhukarai,Ichalkaranji,983.9,3.5T,14,1,1,35780.28
Solapur,Haldwani,1679.98,12T,8,1,0,88653.73
Bellary,Bihar Sharif,1835.63,7.5T,16,1,1,80545.85
Nabadwip,Sikar,1925.88,7.5T,1,1,1,90498.42
Ambur,Etawah,1942.19,25T,14,1,1,141096.29
Surendranagar,Begusarai,2043.62,12T,9,1,1,109622.56
Chittorgarh,Agra,566.45,18T,3,0,1,38658.11
Muzaffarpur,Raiganj,389.36,18T,10,0,1,25153.03
Ratlam,Katihar,1765.37,18T,4,1,0,118164.33
Adoni,Dehradun,2040.17,7.5T,11,0,0,91189.23
Meerut,Phusro,1360.1,3.5T,4,0,1,49950.38
Thanjavur,Ichalkaranji,1047.44,12T,2,0,0,57173.1
Panchkula,Mumbai,1704.12,18T,18,1,1,113671.1
Agartala,Gwalior,1848.09,25T,10,0,1,143596.29
Aligarh,Siliguri,1443.97,18T,8,0,0,98751.36
Amravati,Bijapur,638.14,25T,17,0,0,49020.02
Erode,Durg,1453.5,12T,11,0,0,77210.74
Jabalpur,Chhatarpur,247.2,25T,18,1,0,20191.47
Navsari,Hapur,1270.59,12T,18,1,1,68785.76
Guwahati,Vaniyambadi,2606.41,12T,9,0,1,143862.41
Ratlam,Karimnagar,885.25,12T,15,1,1,50735.17
Ichalkaranji,Aligarh,1632.13,25T,12,0,1,126914.0
Alwar,Junagadh,1197.78,3.5T,7,1,0,44270.92
Farrukhabad,Bikaner,876.16,12T,15,0,1,49208.97
Barabanki,Bilaspur,687.12,12T,6,0,0,36313.15
Chhindwara,Thiruvananthapuram,1898.17,25T,11,0,1,141472.95
Jorhat,Bhilwara,2728.84,12T,6,0,0,143429.92
Nizamabad,Munger,1489.37,3.5T,10,0,1,51790.78
Unnao,Kolhapur,1616.36,25T,10,0,0,116435.57
Thiruvananthapuram,Salem,466.9,7.5T,15,1,0,21542.77
Saharsa,Kishangarh,1632.43,3.5T,3,0,1,58588.74
Sri Ganganagar,Kanpur,1016.53,3.5T,4,1,0,35999.03
Hindupur,Bareilly,2035.0,3.5T,13,0,1,74897.99
Tuticorin,Pimpri-Chinchwad,1493.93,3.5T,16,1,1,53692.39
Rajkot,Raiganj,2447.23,18T,4,0,1,164955.34
Nizamabad,Alwar,1248.54,18T,2,0,1,82804.56
Faizabad,Ratlam,1095.42,18T,10,1,1,69753.57
Bulandshahr,Tirupati,2062.01,7.5T,5,1,0,94934.67
Hoshiarpur,Bathinda,225.09,3.5T,6,0,0,8396.96
Berhampur,Muzaffarpur,947.64,3.5T,2,1,0,32584.74
Bellary,Aurangabad,692.74,3.5T,1,0,0,24557.8
Rewa,Sambalpur,565.2,3.5T,4,1,0,19860.9
Hospet,Pimpri-Chinchwad,587.46,7.5T,14,1,1,26936.25
Hoshiarpur,Shimla,184.08,25T,2,1,1,14440.84
Balasore,Hathras,1493.57,18T,6,0,0,98939.97
Hardoi,Dhule,1168.08,3.5T,6,0,1,42297.42
Anand,Chhatarpur,978.99,3.5T,9,0,0,35444.28
Pimpri-Chinchwad,Kishangarh,1114.47,12T,1,0,1,58819.33
Patiala,Vijayawada,2008.41,7.5T,11,0,1,90288.27
Bharatpur,Katihar,1417.55,3.5T,5,0,0,49395.18
Mathura,Panipat,281.25,18T,1,0,1,18120.77
Bhubaneswar,Asansol,494.18,3.5T,19,1,0,19670.65
Nizamabad,Thanjavur,1103.81,3.5T,6,0,0,40775.08
Salem,Rourkela,1740.02,3.5T,15,0,0,59272.58
Ajmer,Alappuzha,2363.85,7.5T,6,1,0,109532.81
Muzaffarnagar,Chandrapur,1336.83,7.5T,4,1,1,63912.84
